122,Aubagne,Aubagne,5.56645600,43.29600900,1,2018-01-31 13:43:41,2018-12-17 04:29:58
123,Aubazine-St-Hilaire,Aubazine St Hilaire,1.64171900,45.18175600,1,2018-01-31 13:43:41,2018-12-17 04:24:35
124,Auber (Paris),Auber,2.33044800,48.87181100,1,2018-01-31 13:43:41,2018-12-17 04:12:03
125,Aubergenville-Elisabet.,Aubergenville Elisabet.,1.84848500,48.97195200,1,2018-01-31 13:43:41,2018-12-17 03:52:53
126,Aubiat,Aubiat,3.16051000,45.98380300,1,2018-01-31 13:43:41,2018-12-17 03:47:21
127,Aubie-St-Antoine,Aubie St Antoine,-0.41976400,45.01508400,1,2018-01-31 13:43:41,2018-12-17 04:20:33
128,Aubiet,Aubiet,0.78904900,43.64996100,1,2018-01-31 13:43:41,2018-12-17 03:48:00
129,Aubigné-Racan,Aubigné Racan,0.26581300,47.68703100,1,2018-01-31 13:43:41,2018-12-17 04:27:08
130,Aubigny au Bac,Aubigny au Bac,3.15878600,50.26862500,1,2018-01-31 13:43:41,2018-12-17 04:21:54
131,Aubigny en Artois,Aubigny en Artois,2.59257900,50.35293500,1,2018-01-31 13:43:41,2018-12-17 03:40:14
132,Aubin,Aubin,2.23955800,44.52734700,1,2018-01-31 13:43:41,2018-12-17 04:29:52
133,Auboué,Auboué,5.97105200,49.21612000,1,2018-01-31 13:43:41,2018-12-16 03:30:17
134,Aubrais-(les),Aubrais,1.90609200,47.92691900,1,2018-01-31 13:43:41,2018-12-17 04:30:20
135,Aubrives,Aubrives,4.76093800,50.10365000,1,2018-01-31 13:43:41,2018-12-17 03:32:17
136,Aubusson,Aubusson,2.16047000,45.96092900,1,2018-01-31 13:43:41,2018-12-17 03:45:58
137,Auch,Auch,0.59612600,43.64709200,1,2018-01-31 13:43:41,2018-12-17 03:48:01
138,Audrieu,Audrieu,-0.59645500,49.21610200,1,2018-01-31 13:43:41,2018-12-17 04:29:28
139,Audruicq,Audruicq,2.07637900,50.87567900,1,2018-01-31 13:43:41,2018-12-17 03:42:43
140,Audun-le-Roman,Audun le Roman,5.89121300,49.36665700,1,2018-01-31 13:43:41,2018-12-17 04:31:51
141,Auffay,Auffay,1.09842700,49.71609600,1,2018-01-31 13:43:41,2018-12-17 03:40:54
142,Augsburg-Hbf,Augsburg Hbf,10.88675600,48.36558100,1,2018-01-31 13:43:41,2018-12-17 04:22:37
143,Aulnat-Aéroport,Aulnat Aéroport,3.16126700,45.79214600,1,2018-01-31 13:43:41,2018-12-17 03:34:54
144,Aulnay-sous-Bois,Aulnay sous Bois,2.49443400,48.93188500,1,2018-01-31 13:43:41,2018-12-17 04:20:30
145,Aulnay-sous-Bois (Aulnay-sous-Bois),Aulnay sous Bois,2.49443400,48.93188500,1,2018-01-31 13:43:41,2018-12-17 04:35:04
146,Aulnoye Aymeries,Aulnoye Aymeries,3.84327900,50.19733200,1,2018-01-31 13:43:41,2018-12-17 04:30:59
147,Aumale,Aumale,1.75609700,49.76513500,1,2018-01-31 13:43:41,2018-07-06 00:05:09
148,Aumont-Aubrac,Aumont Aubrac,3.28341600,44.71813500,1,2018-01-31 13:43:41,2018-12-17 04:19:14
149,Auneau,Auneau,1.77973100,48.44541600,1,2018-01-31 13:43:41,2018-12-17 04:23:11
150,Auray,Auray,-3.00000500,47.68022300,1,2018-01-31 13:43:41,2018-12-17 03:49:32
151,Aurec,Aurec,4.19843600,45.37112300,1,2018-01-31 13:43:41,2018-12-17 04:25:08
152,Aurillac,Aurillac,2.43554400,44.92098000,1,2018-01-31 13:43:41,2018-12-17 03:39:09
153,Auterive,Auterive,1.46862900,43.34881900,1,2018-01-31 13:43:41,2018-12-17 04:29:49
